Date;CD;LD;Total;Total cumulé
2008-04-23;3;;3;8
2008-05-06;1617;303;1920;3163
2008-05-07;1712;341;2053;5216
2008-05-24;402;310;712;29440
2008-05-26;458;613;1071;31313
2008-06-07;1271;849;2120;50072
2008-06-19;301;1313;1614;70543
2008-06-23;402;1459;1861;78213
2008-06-24;494;1639;2133;80346
2008-06-29;624;491;1115;89628
2008-06-30;396;1462;1858;91486
2008-07-06;426;468;894;101374
2008-07-07;259;1062;1321;102695
2008-07-09;324;1578;1902;106457
2008-07-13;650;432;1082;111802
2008-07-15;376;1430;1806;114784
2008-07-16;366;1395;1761;116545
2008-07-25;189;823;1012;131052
2008-08-03;406;359;765;143193
2008-08-10;372;323;695;152434
2008-08-16;406;459;865;159001
2008-08-21;303;1103;1406;165416
2008-08-22;281;1013;1294;166710
2008-08-28;455;1580;2035;175950
2008-09-14;541;752;1293;205801
2008-09-23;1463;2689;4152;229148
2008-10-02;268;1925;2193;248555
2008-10-07;182;1684;1866;257198
2008-10-11;634;1439;2073;267318
2008-10-17;304;2234;2538;280478
2008-11-03;100;1460;1560;309648
2008-11-05;146;1939;2085;313846
2008-11-09;376;608;984;320616
2008-11-15;350;1264;1614;330928
2008-11-23;165;544;709;345284
2008-12-01;101;1871;1972;359345
2008-12-02;111;1906;2017;361362
2008-12-08;113;1712;1825;371073
2008-12-13;128;684;812;380035
2008-12-14;155;663;818;380853
2009-01-04;83;392;475;403062
2009-01-13;102;1467;1569;415304
2009-01-14;63;1602;1665;416969
2009-01-16;154;1716;1870;420746
2009-01-17;187;1059;1246;421992
2009-01-21;82;1711;1793;427561
2009-01-27;82;1820;1902;435860
2009-01-28;40;993;1033;436893
2009-02-07;163;825;988;452470
2009-02-11;113;1481;1594;457048
2009-02-26;209;1978;2187;480022
2009-02-27;197;2061;2258;482280
2009-03-04;124;1813;1937;490918
2009-03-18;235;2186;2421;516932
2009-03-22;299;691;990;524517
2009-04-03;141;2042;2183;548545
2009-04-07;181;1715;1896;554040
2009-04-08;56;711;767;554807
2009-04-18;339;957;1296;566843
2009-04-19;128;476;604;567447
2009-05-09;453;833;1286;604675
2009-05-11;167;1618;1785;607154
2009-05-27;249;1932;2181;635520
2009-06-20;474;922;1396;678923
2009-06-23;270;1807;2077;684000
2009-07-14;307;421;728;715376
2009-07-15;242;1282;1524;716900
2009-07-20;257;1282;1539;722537
2009-07-29;326;1268;1594;734705
2009-08-17;319;899;1218;755646
2009-08-21;244;1040;1284;760708
2009-08-22;387;567;954;761662
2009-08-25;261;1301;1562;765250
2009-09-01;278;1531;1809;775985
2009-09-08;319;1868;2187;787611
2009-09-09;367;1781;2148;789759
2009-09-16;222;1266;1488;801842
2009-09-26;502;1082;1584;821423
2009-10-04;447;599;1046;837103
2009-10-07;315;1778;2093;842964
2009-10-21;188;1455;1643;868865
2009-11-05;220;1995;2215;891329
2009-11-14;218;829;1047;905220
2009-11-21;213;986;1199;917734
2009-11-29;103;454;557;927873
2009-12-02;115;1480;1595;933370
2009-12-03;182;1845;2027;935397
2009-12-07;72;1294;1366;940171
2009-12-22;76;1117;1193;960157
2009-12-31;82;715;797;965277
2010-01-12;50;1120;1170;978157
2010-01-14;80;1542;1622;981174
2010-01-17;219;530;749;984191
2010-01-23;111;581;692;993486
2010-01-28;120;1729;1849;1000696
2010-02-19;154;1273;1427;1030414
2010-02-20;258;642;900;1031314
2010-03-02;142;1947;2089;1042737
2010-03-03;122;1729;1851;1044588
2010-03-08;85;1418;1503;1051725
2010-03-16;144;1909;2053;1064521
2010-03-17;191;1960;2151;1066672
2010-03-18;161;1968;2129;1068801
2010-03-27;205;928;1133;1082830
2010-04-11;325;505;830;1105313
2010-04-14;172;1420;1592;1109946
2010-04-28;224;2034;2258;1134556
2010-05-11;280;1871;2151;1158484
2010-05-12;341;1875;2216;1160700
2010-05-28;381;2221;2602;1191049
2010-06-02;263;2078;2341;1198721
2010-06-05;420;1128;1548;1205676
2010-06-18;321;1978;2299;1230280
2010-06-19;320;844;1164;1231444
2010-06-22;306;2125;2431;1237230
2010-07-04;296;478;774;1260884
2010-07-24;359;719;1078;1294615
2010-08-18;396;1368;1764;1329010
2010-09-02;280;2224;2504;1353538
2010-09-03;312;2150;2462;1356000
2010-09-04;323;988;1311;1357311
2010-09-10;328;2285;2613;1370867
2010-09-14;334;2519;2853;1378606
2010-09-28;246;2437;2683;1411232
2010-10-01;101;1015;1116;1417617
2010-10-04;81;1147;1228;1420891
2010-10-09;452;1241;1693;1431509
2010-10-17;336;703;1039;1449032
2010-10-24;403;602;1005;1465093
2010-11-03;159;1641;1800;1481060
2010-11-06;169;828;997;1487032
2010-11-30;77;1751;1828;1524232
2010-12-10;135;1852;1987;1538235
2010-12-14;61;1860;1921;1543722
2011-01-02;66;366;432;1560271
2011-01-23;118;417;535;1592322
2011-01-27;114;1751;1865;1599352
2011-02-01;80;1680;1760;1605870
2011-02-02;71;1636;1707;1607577
2011-02-23;84;1472;1556;1643488
2011-03-07;113;1429;1542;1661241
2011-03-08;181;1727;1908;1663149
2011-03-12;260;854;1114;1669771
2011-03-22;152;2276;2428;1689050
2011-03-25;260;2307;2567;1696727
2011-04-02;404;1196;1600;1710952
2011-04-06;333;2451;2784;1720000
2011-04-25;562;679;1241;1763454
2011-04-30;464;1032;1496;1774059
2011-05-05;345;2183;2528;1783769
2011-05-08;399;789;1188;1789120
